activityName featureNames subjectID mean
WALKING tBodyAcc-Mean-X 1 0.277330758736842
WALKING tBodyAcc-Mean-X 2 0.276426586440678
WALKING tBodyAcc-Mean-X 3 0.275567462068966
WALKING tBodyAcc-Mean-X 4 0.278582015166667
WALKING tBodyAcc-Mean-X 5 0.27784234625
WALKING tBodyAcc-Mean-X 6 0.283658868070175
WALKING tBodyAcc-Mean-X 7 0.275592961754386
WALKING tBodyAcc-Mean-X 8 0.27468631
WALKING tBodyAcc-Mean-X 9 0.278502842115385
WALKING tBodyAcc-Mean-X 10 0.278574076603774
WALKING tBodyAcc-Mean-X 11 0.271821892881356
WALKING tBodyAcc-Mean-X 12 0.2771286656
WALKING tBodyAcc-Mean-X 13 0.275883130350877
WALKING tBodyAcc-Mean-X 14 0.271959598644068
WALKING tBodyAcc-Mean-X 15 0.273899207962963
WALKING tBodyAcc-Mean-X 16 0.276023564509804
WALKING tBodyAcc-Mean-X 17 0.272341855245902
WALKING tBodyAcc-Mean-X 18 0.273887758571429
WALKING tBodyAcc-Mean-X 19 0.273931172307692
WALKING tBodyAcc-Mean-X 20 0.272589336470588
WALKING tBodyAcc-Mean-X 21 0.279183526730769
WALKING tBodyAcc-Mean-X 22 0.27886459
WALKING tBodyAcc-Mean-X 23 0.273211884237288
WALKING tBodyAcc-Mean-X 24 0.276980816034483
WALKING tBodyAcc-Mean-X 25 0.278992759054054
WALKING tBodyAcc-Mean-X 26 0.279264443728814
WALKING tBodyAcc-Mean-X 27 0.276849485438596
WALKING tBodyAcc-Mean-X 28 0.281228223888889
WALKING tBodyAcc-Mean-X 29 0.271999916792453
WALKING tBodyAcc-Mean-X 30 0.276406758
WALKING tBodyAcc-Mean-Y 1 -0.0173838185273684
WALKING tBodyAcc-Mean-Y 2 -0.0185949199145763
WALKING tBodyAcc-Mean-Y 3 -0.0171767844203448
WALKING tBodyAcc-Mean-Y 4 -0.0148399475341667
WALKING tBodyAcc-Mean-Y 5 -0.0172850317482679
WALKING tBodyAcc-Mean-Y 6 -0.0168954189082456
WALKING tBodyAcc-Mean-Y 7 -0.018653665345614
WALKING tBodyAcc-Mean-Y 8 -0.0186628865310417
WALKING tBodyAcc-Mean-Y 9 -0.0180891971284423
WALKING tBodyAcc-Mean-Y 10 -0.017022351190566
WALKING tBodyAcc-Mean-Y 11 -0.0166475833623729
WALKING tBodyAcc-Mean-Y 12 -0.015560927606
WALKING tBodyAcc-Mean-Y 13 -0.0185660651947368
WALKING tBodyAcc-Mean-Y 14 -0.0217785380966102
WALKING tBodyAcc-Mean-Y 15 -0.0170809740090741
WALKING tBodyAcc-Mean-Y 16 -0.0204286929452941
WALKING tBodyAcc-Mean-Y 17 -0.0184875403339344
WALKING tBodyAcc-Mean-Y 18 -0.0178023631866071
